"""id"";""code"";""name"";""description"""
"""1"";""01.11.Z"";""Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu"";""<body><h2>01.11.Z</h2><p>Podklasa ta obejmuje uprawę zbóż, roślin strączkowych i roślin oleistych na otwartych polach. Gospodarstwa rolne często łączą uprawę tych zbóż. Podklasa ta obejmuje: </p><ul><li>uprawę zbóż, takich jak: <ul><li>pszenica, </li><li>kukurydza, </li><li>proso, </li><li>sorgo, </li><li>jęczmień,</li><li>żyto, </li><li>owies, </li><li>pozostałe zboża, gdzie indziej niesklasyfikowane, </li></ul></li><li>uprawę roślin strączkowych, takich jak: <ul><li>fasola, </li><li>bób, </li><li>ciecierzyca, </li><li>wspięga chińska,</li><li>soczewica, </li><li>łubin, </li><li>groch, </li><li>nikla indyjska, </li><li>pozostałe rośliny strączkowe, </li></ul></li><li>uprawę roślin oleistych na nasiona, takich jak: <ul><li>soja, </li><li>orzeszki ziemne,</li><li>bawełna, </li><li>rącznik, </li><li>siemię lniane, </li><li>gorczyca, </li><li>rzepak, </li><li>szafran, </li><li>sezam, </li><li>słonecznik, </li><li>pozostałe rośliny oleiste uprawiane na nasiona. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy ryżu, sklasyfikowanej w 01.12.Z, </li><li>uprawy kukurydzy cukrowej, sklasyfikowanej w 01.13.Z, </li><li>uprawy kukurydzy pastewnej, sklasyfikowanej w 01.19.Z, </li><li>uprawy drzew oleistych na owoce, sklasyfikowanej w 01.26.Z. </li></ul></body>"""
"""2"";""01.12.Z"";""Uprawa ryżu"";"""""
"""3"";""01.13.Z"";""Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych"";""<body><h2>01.13.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę warzyw kwiatostanowych, liściastych i łodygowych, takich jak: <ul><li>karczochy, </li><li>szparagi, </li><li>kapusta, </li><li>kalafiory i brokuły, </li><li>sałata i cykoria, </li><li>szpinak, </li><li>pozostałe warzywa kwiatostanowe, liściaste i łodygowe, </li></ul></li><li>uprawę warzyw owocowych, takich jak:<ul><li>ogórki, </li><li>bakłażany, </li><li>pomidory,</li><li>papryka, </li><li>arbuzy, </li><li>kantalupy, </li><li>melony,</li><li>pozostałe warzywa uprawiane na owoce, </li></ul></li><li>uprawę warzyw korzeniowych, bulwiastych i cebulowych, takich jak: <ul><li>marchew, </li><li>rzepa, </li><li>czosnek, </li><li>cebula, włączając szalotkę, </li><li>por i pozostałe warzywa cebulowe, </li><li>pozostałe warzywa korzeniowe i bulwiaste, </li></ul></li><li>uprawę grzybów, w tym trufli, </li><li>uprawę buraków cukrowych, </li><li>uprawę kukurydzy cukrowej, </li><li>uprawę pozostałych warzyw, </li><li>produkcję nasion warzyw, z wyłączeniem nasion buraków pastewnych, </li><li>uprawę roślin korzeniowych i bulwiastych, takich jak: <ul><li>słodkie ziemniaki (pataty, bataty),</li><li>maniok, </li><li>pozostałe rośliny korzeniowe i bulwiaste. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion buraków pastewnych, sklasyfikowanej w 01.19.Z </li><li>uprawy chili i papryki słodkiej (z rodzaju <em>Capsicum</em>), pieprzu (z rodziny <em>Piper</em>) oraz pozostałych roślin przyprawowych i aromatycznych, sklasyfikowanych w 01.28.Z, </li><li>uprawy grzybni, sklasyfikowanej w 01.30.Z. </li></ul></body>"""
"""4"";""01.14.Z"";""Uprawa trzciny cukrowej"";"""""
"""5"";""01.15.Z"";""Uprawa tytoniu"";""<body><h2>01.15.Z</h2><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wyrobów tytoniowych, sklasyfikowanej w 12.00.Z </li></ul></body>"""
"""6"";""01.16.Z"";""Uprawa roślin włóknistych"";""<body><h2>01.16.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę bawełny, </li><li>uprawę juty, ketmii konopiowatej i pozostałych roślin na włókna łykowe,</li><li>uprawę lnu i konopi, </li><li>uprawę sizalu i pozostałych roślin z rodziny agawy na włókna tekstylne,</li><li>uprawę konopi manilskich, ramii i pozostałych roślin na włókna tekstylne, </li><li>uprawę pozostałych roślin włóknistych,</li><li>roszenie roślin włóknistych przeprowadzane w warunkach naturalnych. </li></ul></body>"""
"""7"";""01.19.Z"";""Pozostałe uprawy rolne inne niż wieloletnie"";""<body><h2>01.19.Z</h2><p>Podklasa ta obejmuje pozostałe uprawy rolne inne niż wieloletnie, takie jak: </p><ul><li>uprawa brukwi, buraków pastewnych, korzeni pastewnych, koniczyny, lucerny (alfalfa), esparcety, kukurydzy pastewnej i pozostałych traw innych niż rośliny wieloletnie, kapusty pastewnej i podobnych roślin pastewnych,</li><li>uprawa gryki, </li><li>produkcja nasion buraka pastewnego, </li><li>produkcja nasion pozostałych roślin pastewnych, </li><li>uprawa kwiatów, </li><li>produkcja kwiatów ciętych oraz pączków kwiatowych, </li><li>produkcja nasion kwiatów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion buraka cukrowego, sklasyfikowanej w 01.13.Z, </li><li>uprawy roślin przyprawowych, aromatycznych innych niż rośliny wieloletnie, do produkcji leków i wyrobów farmaceutycznych, sklasyfikowanej w 01.28.Z. </li></ul></body>"""
"""8"";""01.21.Z"";""Uprawa winogron"";""<body><h2>01.21.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę winogron na wino i winogron stołowych w winnicach. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wina, sklasyfikowanej w 11.02.Z. </li></ul></body>"""
"""9"";""01.22.Z"";""Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych"";""<body><h2>01.22.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych tropikalnych i podzwrotnikowych: </p><ul><li>awokado, </li><li>bananów i plantanów, </li><li>daktyli, </li><li>fig, </li><li>mango, </li><li>papai, </li><li>ananasów, </li><li>pozostałych drzew i krzewów owocowych tropikalnych i podzwrotnikowych. </li></ul></body>"""
"""10"";""01.23.Z"";""Uprawa drzew i krzewów owocowych cytrusowych"";""<body><h2>01.23.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych cytrusowych: </p><ul><li>grejpfrutów i pomelo,</li><li>cytryn i limonek,</li><li>pomarańczy, </li><li>mandarynek, w tym klementynek, </li><li>pozostałych drzew i krzewów owocowych cytrusowych. </li></ul></body>"""
"""11"";""01.24.Z"";""Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych"";""<body><h2>01.24.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych ziarnkowych i pestkowych: </p><ul><li>jabłoni, </li><li>moreli, </li><li>czereśni i wiśni, </li><li>brzoskwiń i nektarynek, </li><li>gruszy,</li><li>pigwy, </li><li>śliwy i tarniny, </li><li>pozostałych drzew i krzewów owocowych ziarnkowych i pestkowych. </li></ul></body>"""
"""12"";""01.25.Z"";""Uprawa pozostałych drzew i krzewów owocowych oraz orzechów"";""<body><h2>01.25.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę drzew i krzewów owocowych jagodowych: <ul><li>czarnej borówki, </li><li>porzeczek, </li><li>agrestu, </li><li>owoców kiwi, </li><li>malin, </li><li>truskawek, </li><li>pozostałych drzew i krzewów owocowych jagodowych, </li></ul></li><li>produkcję nasion owoców, </li><li>uprawę orzechów jadalnych: <ul><li>migdałów, </li><li>orzechów nerkowca, </li><li>kasztanów jadalnych, </li><li>orzechów laskowych, </li><li>orzeszków pistacjowych, </li><li>orzechów włoskich, </li><li>pozostałych orzechów, </li></ul></li><li>uprawę pozostałych drzew i krzewów owocowych: <ul><li>chleba świętojańskiego. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy orzechów kokosowych, sklasyfikowanej w 01.26.Z. </li></ul></body>"""
"""13"";""01.26.Z"";""Uprawa drzew oleistych"";""<body><h2>01.26.Z</h2><p>Podklasa ta obejmuje uprawę drzew oleistych na owoce: </p><ul><li>orzechów kokosowych, </li><li>oliwek, </li><li>olejowców, </li><li>pozostałych drzew oleistych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion soi, orzechów ziemnych i pozostałych nasion oleistych, sklasyfikowanej w 01.11.Z. </li></ul></body>"""
